คำเมือง, คำไทย
มีดโต้, พร้า
เกิ๋น, พะอง
วี, พัด
พัดลม, พัดลม
ขันดอก, พานคอกไม้
น้ำถุ้ง, โพง
ฟืม, ฟืม
ไฟสาย, ไฟฉาย
โกมไฟสาย, ไฟฉาย
มีด, มีด
มีดบาง, มีดบาง
มีดซุย, มีดพก
สุ๋ด, มุ้ง
มุ้ง, มุ้ง
ไม้กะลั๋ด, ไม้กลัด
ไม้ค้อน, ไม้กระบอง
ไม้ค้อน, ท่อนไม้
ญู, ไม้กวาด
กั๋บไฟ, ไม้ขีดไฟ
ไม้สวั๋กเขี้ยว, ไม้จิ้มพัน
ไม้จิ้มเขี้ยว, ไม้จิ้มพัน
ไม้ถ่อ, ไม้ถ่อ
ไม้ต๊าว, ไม้เท้า
ไม้บรรทั่ด, ไม้บรรทัด
ไม้ฟาย, ไม้พาย
ไม้พาย, ไม้พาย
ไม้ส้าว, ไม้ส้าว
ไม้เสียบพิ่ก, ไม้เสียบพริก
ไม้แส้, ไม้เรียว
จํ๋า, ยอ
ยางล่บ, ยางลบ
จ้อง, ร่ม
ฮาง, ราง
แฮ้ว, แร้ว
ซึ้ง, ลังถึง
ลังถึง, ลังถึง
วงเวียน, วงเวียน
แว่นต๋า, แว่นตา
สมุ๋ด, สมุด
เหล๋กจี, สว่าน
หิง, สวิง
สาก, สาก
สายดัง, สายตะพาย
เจื้อกสายดัง, สายตะพาย
สายไฟ, สายไฟ
สุ่ม, สุ่ม
เสียม, เสียม
สาด, เสื่อ
ก๋ง, หนังสติ๊ก
หม้อแก๋ง, หม้อแกง
น้ำหม้อ, หม้อนำ
หลอดไฟ, หลอดไฟ
หวี, หวี
ข่า, หิ้ง
หิ้งพ่ะเจ้า, หิ้งพระ
หีบ, หีบ
หีด, หีบ
หูก, หูก
แห, แห
ไห, ไห
ไหเข้า, ไหสำหรับนึ่งข้าว
หม้อโอ่ง, โอ่ง
โอ่ง, โอ่ง
มะต่อม, กระดุม
กะดุม, กระดุม
มะต่อมแด๋บ, กระดุมบีบ
กะเป๋า, กระเป๋า
กะเป๋า, กระเป๋าถือ
กะเลิ้บ, กระเป๋าถือ
กะเป๋านั่กเลียน, กระเป๋านักเรียน
กะโปง, กระโปรง
เตี่ยว, กางเกง
ก๋างเก๋ง, กางเกง
เตี่ยวสะดอ, กางเกงขาก๊วย
เตี่ยวหลั่ง, กางเกงขายาวแบบฝรั่ง
ก๋างเก๋ง, กางเกงขายาวแบบฝรั่ง
เตี่ยวก้อม, กางเกงขาสัน
ก๋างเก๋งขาสัน, กางเกงขาสัน
เตี่ยวใน, กางเกงชั้นใน
เตี่ยวลิง, กางเกงลิง
กํ๋าไล, กำไล
เคื่องนุ่งคัวใบ, เครื่องนุ่งห่ม
ด้อกหู, ตุ้มหู
จี้หู, ตุ้มหู
ถุงตี๋น, ถุงเท้า
ถุงมือ, ถุงมือ
ปิ่น, ปิ่น
ผ้าต่อง, ผ้าขาวม้า
ผ้าตุ๊ม, ผ้าคลุม
ผ้าสิ้น, ผ้าถุง
ผ้าต้อย, ผ้านุ่ง
ผ้าต้อย, ผ้าโจงกระเบน
ผ้าปันคอ, ผ้าพันคอ
ผ้าเคียนหัว, ผ้าโพกหัว
ผ้าป้อกหัว, ผ้าโพกหัว
ผ้าสะหว้ายแหล้ง, ผ้าห่มเฉียงบ่า
ผ้าไหม, ผ้าไหม
ดอกไม้ไหว, พวงดอกไม้เงิน-ทองประดับผม
เกือก, รองเท้า
เกิบ, รองเท้า
เกือกแต๋ะ, รองเท้าแตะ
สายแขน, สร้อยข้อมือ
ส้อยแขน, สร้อยข้อมือ
สายคอ, สร้อยคอ
เสื้อ, เสื้อ
เสื้อก้อม, เสื้อกล้าม
เสื้อก้าม, เสื้อกล้าม
เสื้อหนาว, เสื้อกันหนาว
เสื้อบ่าห้อย, เสื้อคอกระเช้า
เสื้อแขนญาว, เสื้อแขนยาว
เสื้อแขนสั้น, เสื้อแขนสั้น
เสื้อก้อม, เสื้อชันใน
เสื้อจั๊นใน, เสื้อชันใน
คัวนุ่ง, เสื้อผ้า
เสื้อผ้า, เสื้อผ้า
โสล่ง, โสร่ง
แหวน, แหวน
ก๋ด, กลด
ผ้าเหลือง, ผ้าเหลือง
ผ้าลังก๋า, จีวร
ผ้าเอก, จีวร
ธรรมมาส, ธรรมมาส
ต๋าละปั๋ด, ตาลปัตร
บาตร, บาตร
ผ้ามั่ดอ๋ก, ผ้ารัดประคด
ผ้าป้าด, ผ้าสังฆาฏิ
ผ้าอังส๋ะ, ผ้าอังสะ
ผ้าอาบ, ผ้าอาบน้ำ
พั่ดญ่ด, พัดยศ
สบง, สบง
หีดธรรม, หีบใส่คัมภีร์
หีดธรรม, ตู้ใส่คัมภีร์
อาสน่ะ, อาสนะ
มะหิน, กรวด
มะแฮ่, กรวด
แฮ่, กรวด
แก่ง, แก่ง
เก๋าะ, เกาะ
เดือนออก, ข้างขึ้น
เดือนดั๋บ, ข้างแรม
เดือนแฮม, ข้างแรม
ขี้เต้า, ขี้เถ้า
น้ำโก๊ง, คุ้งนํ่า
ก๋บกิ๋นเดือน, จันทรคราส
ก๋บตือเดือน, จันทรคราส
ผาเงิบ, ชะง่อนผา
ตี๋นดอย, เชิงเขา
เดือน, ดวงจันทร์
ต๋าวัน, ดวงอาทิดย์
ดาว, ดาว
ดาวง้อนไถ, ดาวไถ
ดาวผะก๋าย, ดาวประกายพฤกษ์
ดาวหมูกอง, ดาวประจำเมือง
ดาววี, ดาวลูกไก่
ดาววีไก่หน้อย, ดาวลูกไก่
ดิน, ดิน
ดินเหนียว, ดินเหนียว
ดินดาก, ดินดาน
แดด, แดด
เดือนเป็ง, เดือนเพ็ญ
เดือนแจ้ง, เดือนหงาย
เดือนหงาย, เดือนหงาย
ต๋าฝั่ง, ตลิ่ง
ต๋าน้ำ, ดาน้ำ
ถ้ำ, ถ้ำ
ซาย, ทราย
ทะเล, ทะเล
น้ำต้า, ท่าน้า
เหมย, น้ำค้าง
น้ำค้าง, น้ำค้าง
เหมยขาบ, น้ำค้างแข็ง
น้ำเจี้ยว, นํ้าเชี่ยว
น้ำจำ, น้ำซับ
น้ำกิ๋น, นํ้าดื่ม
น้ำต๋ก, น้ำตก
น้ำนอง, น้ำท่วม
น้ำถ้วม, น้ำท่วม
น้ำตุ้น, น้ำนิ่ง
น้ำพั๋ดต๋าไก่, น้ำวน
โป่งน้ำฮ้อน, บริเวณที่มีน้ำพุร้อน
บวก, ปลัก
บวก, แอ่งนํ้า
ป่า, ป่า
เถื่อน, เถื่อน
แพ่ะ, ป่าละเมาะ
ป่ง, โป่ง
โป่ง, โป่ง
ผง, ผง
ผีปุ้งส้าว, ผีพุ่งใต้
ฝน, ฝน
ฝุ่น, ฝุ่น
แดดบ๋ด, พยับแดด
ลมพลวง, พายุ
ก๋วง, โพรงในต้นไม้
ดอย, ภูเขา
ปู, ภูเขา
ม่อน, ภูเขาเตี้ยๆ
ฝ้า, เมฆ
เมฆ, เมฆ
น้ำแม่, แม่น้ำ
ผีอี่ฮุง, รุ้งกินน้ำ
ฮุ้งกิ๋นน้ำ, รุ้งกินน้ำ
หน้า, ฤดู
ลม, ลม
ลมกิ๋ดกิ๋ว, ลมที่พัดเป็นวงขึ้นไป
ลำเหมือง, ลำคลอง
ลำห้วย, ลำธาร
ห้วย, ลำธาร
บ่าเห๋บ, ลูกเห็บ
มะเห๋บ, ลูกเห็บ
แป๋ดอย, สันเขา
หนองน้ำ, หนองน้ำ
หน้าผา, หน้าผา
หมอก, หมอก
วังนํ้า, ห้วงน้ำ
วัง, ห้วงน้ำ
เหว, เหว
อากาศ, อากาศ
ไอน้ำ, ไอน้ำ
ตูบ, กระท่อม
กะเบื้อง, กระเบื้อง
แป้นดินขอ, กระเบื้องดินเผามุงหลังคา
แป้นเก๋ค, กระเบืองไม้มุงหลังคา
ก๋อน, กลอน
แซ่ว, กลอน
เต่า, กบไสไม้
กุฏิ๋, กุฏิ
ขะแจ๋, กุญแจ
กุ๋นแจ๋, กุญแจ
มุย, ขวาน
สี้คันได, ขั้นบันได
ขื่อ, ขื่อ
ค้อน, ค้อน
คุ้ม, คุ้ม
แม่คันไค, โครงบันได
เจ๋ดีย์, เจดีย์
กู่, เจดีย์
จั่ว, จั่ว
จาน, ชาน
