คำเมือง, คำไทย
สว่าย, เขย่า
เขี่ย, เขี่ย
ป๋อกกะแด๋ก, โขยกเขยก
กาน, คลาน
คอน, คลอน
กะลิ่ก, คลึง
ควั่ด, ควัก
เปี๋ย, คว้า
คืบ, คืบ
งั่ด, งัด
เงย, เงย
เงื้อ, เงื้อ
จ๋ม, จม
จู๋ง, จูง
ดึง, ฉุด
ซูด, โฉบ
ซวาด, เฉี่ยว
ซวาด, เฉียด
เหง้อ, ชะเง้อ
เหง้อ, ตั้งใจดู
หยื้อหน้า, ชะโงก
จั้ก, ชัก
เซ, เซ
แซง, แซง
โซเซ, โซเซ
ดัน, ดัน
ญู้, ดัน
ดำน้ำ, ดำน้ำ
ดึง, ดึง
เตียว, เดิน
ญ่าง, เดิน
เตียวก๋าย, เดินผ่าน
ต๋ก, ตก
ต้อน, ต้อน
ต๋อม, ตอม
ญั่บ, ตะครุบ
เต้น, เต้น
ห๋ก, เต้น
ไต่, ไต่
ถอด, ถอด
ถอย, ถอย
แถ๋ด, ถัด
ถะแหล๋ด, ถัด
ไถ, ไถ
ผะเลิด, ไถล
ผะเลิด, ลื่นไถล
บิน, บิน
งอมใส่, ปรี่เข้าหา
ป่อย, ปล่อย
สั๋วะ, ปล่อย
ปิ๋ว, ปลิว
ขึ้น, ปีน
ญู้, ผลัก
ผุ๋ด, ผุด
ฝ่า, ฝ่า
กะง่อกหัว, พยักหน้า
เฟีย, พยุง
ปิ้น, พลิก
ปัง, พัง
โหยด, ตลิ่งพัง
ปั้ด, พัด
ปา, พา
ปุ้ง, พุ่ง
ฝั๋ด, ฝัด
ฟั่ด, ฟัด
มุ่ด, มุด
ย่อง, ย่อง
ญ้าย, ย้าย
ยืนงำหัว, ยืนค้ำศีรษะ
โยก, โยก
ฮ่อน, ร่อน
หล่น, ร่วง
ลง, ลง
ลอด, ลอด
ลาก, ลาก
ลุ่ก, ลุก
เลี้ยว, เลียว
แล่น, แล่น
ไล่, ไล่
ว่ก, วก
วน, วน
หว้าย, ว่าย
วิ่ง, วิ่ง
ห๋ก, วิ่ง
เวียน, เวียน
ส่ง, ส่ง
สะดุ้ง, สะดุ้ง
สะวั่ด, สะบัด
สั่น, สั่น
ต้าว, หกล้ม
หลี่, หรี่
หล่น, หล่น
หลุด, หลุด
ห้อย, ห้อย
เซ่าะ, หา
หา, หา
เหลียว, เหลียว
เห๋าะ, เหาะ
ซาน, ซาน
แหงน, แหงน
เหนี่ยว, เหนี่ยว
ผั๋ดมน, หมุน
โหน, โหน
ไหล, ไหล
ไหว, ไหว
อ้อม, อ้อม
แง้น, แอ่น
แง่น, แอ่น
หยื้อ, เอื้อม
เขียน, เขียน
แต้ม, เขียน
คั่ด, คัด
จ๋ต, จด
จ๋บ, จบ
จ๋ำ, จำ
ท่อง, ท่อง
ฮู้, รู้
เฮียน, เรียน
ลอก, ลอก
วาด, วาด
สอบ, สอบ
อ่าน, อ่าน
หล๋บ, กลบ
เกี่ยว, เกี่ยว
ขุ๋ด, ขุด
บ๋กแปง, ขุดทำแปลง
ขุน, ขุน
จำ, ชำ
เด๋ด, เด็ด
ต๋อน, ตอน
หล๋ก, ถอน
แส๋ะหญ้า, ถางหญ้า
ไถ, ไถ
นวดเข้า, นวดข้าว
ปูก, ปลูก
พวนดิน, พรวนดิน
เป่าะ, เพาะ
ฟั่ก, ฟัก
ฮาน, ฟันกิ่งไม้
ฟัน, ฟันกิ่งไม้
ห๋ดน้ำ, รดน้ำ
ลิ่ด, ลิด
เลี้ยง, เลี้ยง
หว่าน, หว่าน
เกื๋อ, ให้อาหารสัตว์
เกื๋อเข้า, ให้อาหารสัตว์
พั่บต๋า, กระพิบตา
สีต๋า, ขยี้ตา
จงต๋า, ขึงตา
จงต๋า, เขม้น
หลั๋บต๋าจัง, ค้อน
ส่องผ่อ, จ้องดู
ต๋าติ๋ด, จ้องดู
เหง้อ, จ้องมอง
แลต๋า, ชม้อย
แลต๋า, ชายตามอง
แล, ชำเลือง
แนผ่อ, ตั้งตาคอยดู
โมกต๋า, ถลึงตา
พั่บต๋าหยั๋บๆ, ทำตาปริบๆ
แญงผ่อ, เพ่งดู
ผ่อ, มอง
ดู, มอง
กอย, มอง
ผ่อ, ดู
ดู, ดู
กอย, ดู
หัน, มองเห็น
หันใส่, มองเห็น
ส่องผ่อ, มองหา
ผ่อหา, มองหา
มืนต๋า, ลืมตา
แน, เล็ง
เล็ง, เล็ง
แญง, ส่อง
หลี่ต๋า, หรี่ตา
หลับต๋า, หลบตา
หลบต๋า, หลับตา
หัน, เห็น
เหลือกต๋า, เหลือกตา
สั่ดต๋าหัน, เหลือบเห็น
ผ๋กผ่อ, แอบดู
ฮา, กู
กู, กู
คิง, แก
สู, แก
ข้า, ข้า
เปิ้น, เขา
เขา, เขา
คุณ, คุณ
เปิ้น, ฉัน
เฮา, ฉัน
ข้าเจ้า, ดิฉัน
เจ้า, ดิฉัน
ต้าน, ท่าน
ตั๋ว, เธอ
เธอ, เธอ
ผม, ผม
หมู่เฮา, พวกเรา
ปี้, พี่สาว
เอ้ย, พี่สาว
อ้าย, พี่ชาย
มัน, มัน
คิง, มึง
มึง, มึง
เฮา, เรา
กี่, กี่
ไผ, ใคร
ญ่ะหญัง, ทำไม
เป๋นใด, เหตุใด
เต้าใด, เท่าไร
เต้าฮือ, เท่าไร
พ่อง, บ้าง
ญ้อนอะหญัง, เพราะเหตุใด
ญ้อนหญัง, เพราะเหตุใด
กา, หรือ
ก๋ะ, หรือ
กาว่า, หรือว่า
ไหน, ไหน
บ๋อ, ไหม
ก่อ, ไหม
จะใด, อย่างไร
อย่างใด, อย่างไร
อะหญัง, อะไร
หญัง, อะไร
ตางนี้, ทางนี้
ตางเพ้, ทางนี้
ตางปู๊น, ทางโน้น
ตี้หั้น, ที่นั่น
ตี้หนี้, ที่หนี้
เต้าอั้น, เท่านั้น
เต้าอี้, เท่านี้
นั้น, นั้น
หั้น, นั่น
นี้, นี้
หนี้, นี่
หนี้ลอ, นี่ไง
ปู๊น, โน่น
ปู๊น, โน้น
จะอี้, อย่างนี้
จะอั้น, อย่างนั้น
เจ๊า, เช้า
ดึ๋ก, ดึก
เตี้ยง, เที่ยง
เมื่อตอน, เที่ยง
บ่าย, บ่าย
แลง, เย็น
ไก้แจ้ง, รุ่งสาง
ขวาย, สาย
ค่ำ, หัวค่ำ
เมื่อคืน, กลางคืน
เมื่อวัน, กลางวัน
งวด, งวด
เต๊าแจ้ง, จนสว่าง
จั้วโมง, ชั่วโมง
จ๊า, ช้า
หัวตี, เดิมที
กำเดียว, เดี๋ยวเดียว
มะเดี่ยวนี้, เดี๋ยวนี้
เดี่ยวนี้, ขณะนี้
สุ๋ตคืน, ตลอดคืน
วันคํ่า, ตลอดวัน
ต๋อนนี้, ตอนนี้
ตะก่อน, แต่ก่อน
ตึงวันตึงคืน, ทั้งวันทั้งคืน
ตึงวัน, ทุกวัน
กู้วัน, ทุกวัน
ทุ่ม, ทุ่ม
นาที, นาที
วินาที, วินาที
เมิน, นาน
กำเดียว, ประเดี๋ยว
กำเดียว, เดี๋ยว
ปี๋ก่อน, ปีก่อน
ปี๋ซืน, ปีก่อนปีที่แล้ว
ปี๋แล้ว, ปีที่แล้ว
ปี๋นี้, ปีนี้
ปี๋หน้า, ปีหน้า
เพล, เพล
เมื่อก่อน, เมื่อก่อน
ตะก่อน, เมื่อก่อน
ตะวานี้, เมื่อวานนี้
โมง, โมง
ญาม, ยาม
โวย, เร็ว
หน้า, ฤดู
หน้าฝน, ฤดูฝน
หน้าฮ้อน, ฤดูร้อน
หน้าแล้ง, ฤดูร้อน
หน้าหนาว, ฤดูหนาว
วันเดือนออก, วันข้างขึ้น
วันเดือนดั๋บ, วันข้างแรม
วันเดือนแฮม, วันข้างแรม
วันนี้, วันนี้
ว้นพู้ก, วันพรุ่งนี้
วันเดือนเป็ง, วันเพ็ญ
วันฮือ, วั่นมะรืน
วันซืน, วันมะเรื่อง
วันเว้นวัน, วันเว้นวัน
วันหน้า, วันหน้า
สมัยบ่าเก่า, สมัยเก่า
สมัยก่อน, สมัยก่อน
สั๋กกำ, สักครู่
สั๋กกำ, สักครั้ง
สั๋กเตื้อ, สักครั้ง
สั๋กบึ๋ด, สักหน
สั๋กญาม, สักพักหนึ่ง
อาติ้ด, สัปดาห์
ล้ำไป, เกินไป
เก้า, เก้า
เกี้ยง, เกลี้ยง
โกฏิ, โกฏิ
ข้อน, ค่อน
กึ่ง, ครึ่ง
ค่บ, ครบ
กี้, คี่
กู้, คู่
เจ๋ด, เจ็ด
เดียว, เดี่ยว
เต๋ม, เต็ม
ตึงกู้, ทั้งคู่
ตึงหม๋ด, ทั้งหมด
น้อย, น้อย
หน้อย, น้อย
มอกฮ้ายมอกดี, ปานกลาง
มอกบ่ฮ่ายบ่ดี, ไม่ดีไม่เลวจนเกินไป
แปด, แปด
ปัน, พัน
บ๋ก, พร่อง
นั่ก, มาก
หลาย, มาก
ขนาด, มาก
นั่กนั่ก, มากๆ
หลายหลาย, เยอะๆ
จ้าดนั่ก, มากมาย
นั่กขนาด, มากมาย
จ้าดหลาย, มากมาย
จ้าดนั่กจ้าดหลาย, มากมาย
ซาว, ยี่สิบ
ล้อย, ร้อย
ล้าน, ล้าน
สอง, สอง
สาม, สาม
สิบ, สิบ
สี่, สี่
แสน, แสน
ห๋ก, หก
นึ่ง, หนึ่ง
ปันนึ่ง, หนึ่งพัน
ปันเอ๋ด, หนึ่งพันหนึ่ง
ล้อยนึ่ง, หนึ่งร้อย
ล้อยเอ๋ด, หนึ่งร้อยหนึ่ง
หม๋ด, หมด
เสี้ยง, หมด
หมื่น, หมื่น
หลาย, หลาย
ห้า, ห้า
โหล, โหล
ขม, ขม
ขื่น, ขื่น
เก็ม, เค็ม
จ๋าง, จืด
คาย, เซ็ง
ส้ม, เปรี้ยว
เผ๋ด, เผ็ด
ฝาด, ฝาด
ฮืน, เฝื่อน
จั๋บ, พอดี
ปอดี, พอดี
มัน, มัน
ก๋ำปอ, กลมกล่อม
หวาน, หวาน
ลำ, อร่อย
ขาว, ขาว
ปอน, ขาว
เผือก, ขาว
โก้ง, ขาวสลับดำ
เขียว, เขียว
สิ้ว, เขียวแก่
เขียวแก่, เขียวแก่
ออน, ชมพู
ซีด, ซีด
เปิด, เผือด
ดำ, ดำ
แดง, แดง
กํ่า, แดงเข้ม
เทา, เทา
หม่น, เทา
แหล้, น้ำเงิน
น้ำเงิน, น้ำเงิน
น้ำต๋าล, น้ำตาล
ปอน, เผือก
เผือก, เผือก
ฟ้า, ฟ้า
ม่วง, ม่วง
กํ่า, ม่วงเข้ม
สีปั๋ง, ม่วงเข้ม
ส้ม, ส้ม
แสด, แสด
เหลือง, เหลือง
คาว, คาว
ขิ่ว, ฉุน
สาบ, สาบ
หอม, หอม
เหม็น, เหม็น
หืน, หืน
ผ่อย, กรอบ
ก๋าง, กาง
เก๊, เก๊
เกี้ยง, เกลี้ยง
โก่ง, โก่ง
ของแต๊, ของแท้
ข้น, ข้น
ขุ่น, ขุ่น
ซูน, เขยิน
ก้ด, คด
คม, คม
ก้อย, ค่อย
ค้าย, คล้าย
เก่ง, โล้ง
งอน, งอน
งุ้ม, งุ้ม
จ๊าย, เฉ
ญม, เฉา
แจ้ะ, แฉะ
จัน, ชัน
จื้น, ชื่น
จุ้ม, ชุ่ม
ดัง, ดัง
ดี, ดี
ซื่อ, ตรง
ม้าน, ตายนึ่ง
ตื้น, ตื้น
ถูก, ถูก
มุ่ม, ทู่
เต้า, เท่า
นูน, นูน
เน่า, เน่า
บาง, บาง
แลบ, บอบบาง
เบบ, บุบ
ป๋อม, ปลอม
แปก, แปลก
เปี๋ยะ, เปียก
ผอม, ผอม
ฟู, ฟู
ฌุ่บ, แฟบ
มัน, มัน
เหลื้อม, มัน
มัว, มัว
หญ้น, ย่น
ยั่บ, ยับ
ฮ่วน, ร่วน
ฮ้าย, ร้าย
เปียง, เรียบ
ลาต, ลาด
ลึ่ก, ลึก
เหลื้อม, แวววาว
ส๋ต, สด
ใส, ใส
เหี่ยว, เหี่ยว
แห้ง, แห้ง
เหลียก, แหลก
แหลม, แหลม
แหลว, เหลว
หนั๋ก, หนัก
เหนียว, เหนียว
หมาด, หมาด
เหมือน, เหมือน
ตุ้ย, อ้วน
กว้าง, กว้าง
มอกอี้, ขนาดนี้
มอกอี้, แค่นี้
กีด, แคบ
ตํ่า, ตํ่า
ป๋อก, เตี้ย
มอกฮ้ายมอกดี, ปานกลาง
มอกฮ้ายมอกดี, ไม่ดีไม่เลวจนเกินไป
มอกจั๋บ, พอดี
มอกจั๋บ, พอเหมาะ
มอกปอดี, พอดี
ญาว, ยาว
หน้อย, เล็ก
สั้น, สั้น
สูง, สูง
หึ๋ก, หนา
หนา, หนา
ใหญ่, ใหญ่
แข็ง, แข็ง
กาย, ระคาย
ด้าน, ด้าน
น่วม, น่วม
นุ่ม, นุ่ม
เย็น, เย็น
ฮ้อน, ร้อน
มื่น, ลื่น
ลว่าน, เละ
จา, สาก
หนาว, หนาว
อ่อน, อ่อน
อุ่น, อุ่น
ก๊า, กระมัง
คั่บ, ครับ
เจ้า, คะ
เจ้า, ค่ะ
บ่ดาย, เฉยๆ
แหน่, ไง
ลอ, ไงล่ะ
กะ, ซิ
แป๋ะ, ซิ
แล่, ซิ
กำ, ซิ
ลอ, ซิ
ลุ๋, ซิ
ลู, ซิ
กะ, สิ
แป๋ะ, สิ
แล่, สิ
กำ, สิ
ลุ๋, สิ
ลอ, สิ
ลู, สิ
เต้อะ, เถอะ
เต้อะ, เถิด
เต้อะนา, เถอะนะ
เต้อะ, เถอะนะ
เน่อ, นะ
ค่า, นะ
เอาะ, นะ
เอ๋าะ, นะ
เล่าะ, นะ
หนา, นะ
กอย, นะ
กอย, ด้วยนะ
น่ะก่า, นั่นแหละ
น่ะก่า, น่ะสิ
น่ะก่า, น่ะแหละ
นา, นา
เนอ, นะ
เนอ, หนอ
ล่ะ, ละ
ล่ะหนา, ละนะ
ละเน่อ, ละนะ
ล่ะกะ, ละสิ
เตื้อ, เลย
แหมเม่าะ, อีกละ
บะ, วะ
บ่า, วะ
บะเฮ้ย, โว้ย
เหียก่อน, เสียก่อน
เหียกำ, เสียที
เหียก่า, เสียสิ
เหียเลย, เสียเลย
สั๋กกำ, เสียนี่
น่ะ, แหละ
เน่าะ, แหละ
เหย, เอ๋ย
