ข้าว, เข้า
ขยับ, ข๋ด
ขยี้, สี
ขึ้น, ขึ้น
ขย่ม, ห่ม
เข็น, ญู้
เขย่ง, แหย่งแย๋ะ
เขย่า, สว่าย
เขี่ย, เขี่ย
โขยกเขยก, ป๋อกกะแด๋ก
คลาน, กาน
คลอน, คอน
คลึง, กะลิ่ก
ควัก, ควั่ด
คว้า, เปี๋ย
คืบ, คืบ
งัด, งั่ด
เงย, เงย
เงื้อ, เงื้อ
จม, จ๋ม
จูง, จู๋ง
ฉุด, ดึง
โฉบ, ซูด
เฉี่ยว, ซวาด
เฉียด, ซวาด
ชะเง้อ, เหง้อ
ตั้งใจดู, เหง้อ
ชะโงก, หยื้อหน้า
ชัก, จั้ก
เซ, เซ
แซง, แซง
โซเซ, โซเซ
ดัน, ดัน
ดัน, ญู้
ดำน้ำ, ดำน้ำ
ดึง, ดึง
เดิน, เตียว
เดิน, ญ่าง
เดินผ่าน, เตียวก๋าย
ตก, ต๋ก
ต้อน, ต้อน
ตอม, ต๋อม
ตะครุบ, ญั่บ
เต้น, เต้น
เต้น, ห๋ก
ไต่, ไต่
ถอด, ถอด
ถอย, ถอย
ถัด, แถ๋ด
ถัด, ถะแหล๋ด
ไถ, ไถ
ไถล, ผะเลิด
ลื่นไถล, ผะเลิด
บิน, บิน
ปรี่เข้าหา, งอมใส่
ปล่อย, ป่อย
ปล่อย, สั๋วะ
ปลิว, ปิ๋ว
ปีน, ขึ้น
ผลัก, ญู้
ผุด, ผุ๋ด
ฝ่า, ฝ่า
พยักหน้า, กะง่อกหัว
พยุง, เฟีย
พลิก, ปิ้น
พัง, ปัง
ตลิ่งพัง, โหยด
พัด, ปั้ด
พา, ปา
พุ่ง, ปุ้ง
ฝัด, ฝั๋ด
ฟัด, ฟั่ด
มุด, มุ่ด
ย่อง, ย่อง
ย้าย, ญ้าย
ยืนค้ำศีรษะ, ยืนงำหัว
โยก, โยก
ร่อน, ฮ่อน
ร่วง, หล่น
ลง, ลง
ลอด, ลอด
ลาก, ลาก
ลุก, ลุ่ก
เลียว, เลี้ยว
แล่น, แล่น
ไล่, ไล่
วก, ว่ก
วน, วน
ว่าย, หว้าย
วิ่ง, วิ่ง
วิ่ง, ห๋ก
เวียน, เวียน
ส่ง, ส่ง
สะดุ้ง, สะดุ้ง
สะบัด, สะวั่ด
สั่น, สั่น
หกล้ม, ต้าว
หรี่, หลี่
หล่น, หล่น
หลุด, หลุด
ห้อย, ห้อย
หา, เซ่าะ
หา, หา
เหลียว, เหลียว
เหาะ, เห๋าะ
ซาน, ซาน
แหงน, แหงน
เหนี่ยว, เหนี่ยว
หมุน, ผั๋ดมน
โหน, โหน
ไหล, ไหล
ไหว, ไหว
อ้อม, อ้อม
แอ่น, แง้น
แอ่น, แง่น
เอื้อม, หยื้อ
เขียน, เขียน
เขียน, แต้ม
คัด, คั่ด
จด, จ๋ต
จบ, จ๋บ
จำ, จ๋ำ
ท่อง, ท่อง
รู้, ฮู้
เรียน, เฮียน
ลอก, ลอก
วาด, วาด
สอบ, สอบ
อ่าน, อ่าน
กลบ, หล๋บ
เกี่ยว, เกี่ยว
ขุด, ขุ๋ด
ขุดทำแปลง, บ๋กแปง
ขุน, ขุน
ชำ, จำ
เด็ด, เด๋ด
ตอน, ต๋อน
ถอน, หล๋ก
ถางหญ้า, แส๋ะหญ้า
ไถ, ไถ
นวดข้าว, นวดเข้า
ปลูก, ปูก
พรวนดิน, พวนดิน
เพาะ, เป่าะ
ฟัก, ฟั่ก
ฟันกิ่งไม้, ฮาน
ฟันกิ่งไม้, ฟัน
รดน้ำ, ห๋ดน้ำ
ลิด, ลิ่ด
เลี้ยง, เลี้ยง
หว่าน, หว่าน
ให้อาหารสัตว์, เกื๋อ
ให้อาหารสัตว์, เกื๋อเข้า
กระพิบตา, พั่บต๋า
ขยี้ตา, สีต๋า
ขึงตา, จงต๋า
เขม้น, จงต๋า
ค้อน, หลั๋บต๋าจัง
จ้องดู, ส่องผ่อ
จ้องดู, ต๋าติ๋ด
จ้องมอง, เหง้อ
ชม้อย, แลต๋า
ชายตามอง, แลต๋า
ชำเลือง, แล
ตั้งตาคอยดู, แนผ่อ
ถลึงตา, โมกต๋า
ทำตาปริบๆ, พั่บต๋าหยั๋บๆ
เพ่งดู, แญงผ่อ
มอง, ผ่อ
มอง, ดู
มอง, กอย
ดู, ผ่อ
ดู, ดู
ดู, กอย
มองเห็น, หัน
มองเห็น, หันใส่
มองหา, ส่องผ่อ
มองหา, ผ่อหา
ลืมตา, มืนต๋า
เล็ง, แน
เล็ง, เล็ง
ส่อง, แญง
หรี่ตา, หลี่ต๋า
หลบตา, หลับต๋า
หลับตา, หลบต๋า
เห็น, หัน
เหลือกตา, เหลือกต๋า
เหลือบเห็น, สั่ดต๋าหัน
แอบดู, ผ๋กผ่อ
กู, ฮา
กู, กู
แก, คิง
แก, สู
ข้า, ข้า
เขา, เปิ้น
เขา, เขา
คุณ, คุณ
ฉัน, เปิ้น
ฉัน, เฮา
ดิฉัน, ข้าเจ้า
ดิฉัน, เจ้า
ท่าน, ต้าน
เธอ, ตั๋ว
เธอ, เธอ
ผม, ผม
พวกเรา, หมู่เฮา
พี่สาว, ปี้
พี่สาว, เอ้ย
พี่ชาย, อ้าย
มัน, มัน
มึง, คิง
มึง, มึง
เรา, เฮา
กี่, กี่
ใคร, ไผ
ทำไม, ญ่ะหญัง
เหตุใด, เป๋นใด
เท่าไร, เต้าใด
เท่าไร, เต้าฮือ
บ้าง, พ่อง
เพราะเหตุใด, ญ้อนอะหญัง
เพราะเหตุใด, ญ้อนหญัง
หรือ, กา
หรือ, ก๋ะ
หรือว่า, กาว่า
ไหน, ไหน
ไหม, บ๋อ
ไหม, ก่อ
อย่างไร, จะใด
อย่างไร, อย่างใด
อะไร, อะหญัง
อะไร, หญัง
ทางนี้, ตางนี้
ทางนี้, ตางเพ้
ทางโน้น, ตางปู๊น
ที่นั่น, ตี้หั้น
ที่หนี้, ตี้หนี้
เท่านั้น, เต้าอั้น
เท่านี้, เต้าอี้
นั้น, นั้น
นั่น, หั้น
นี้, นี้
นี่, หนี้
นี่ไง, หนี้ลอ
โน่น, ปู๊น
โน้น, ปู๊น
อย่างนี้, จะอี้
อย่างนั้น, จะอั้น
เช้า, เจ๊า
ดึก, ดึ๋ก
เที่ยง, เตี้ยง
เที่ยง, เมื่อตอน
บ่าย, บ่าย
เย็น, แลง
รุ่งสาง, ไก้แจ้ง
สาย, ขวาย
หัวค่ำ, ค่ำ
กลางคืน, เมื่อคืน
กลางวัน, เมื่อวัน
งวด, งวด
จนสว่าง, เต๊าแจ้ง
ชั่วโมง, จั้วโมง
ช้า, จ๊า
เดิมที, หัวตี
เดี๋ยวเดียว, กำเดียว
เดี๋ยวนี้, มะเดี่ยวนี้
ขณะนี้, เดี่ยวนี้
ตลอดคืน, สุ๋ตคืน
ตลอดวัน, วันคํ่า
ตอนนี้, ต๋อนนี้
แต่ก่อน, ตะก่อน
ทั้งวันทั้งคืน, ตึงวันตึงคืน
ทุกวัน, ตึงวัน
ทุกวัน, กู้วัน
ทุ่ม, ทุ่ม
นาที, นาที
วินาที, วินาที
นาน, เมิน
ประเดี๋ยว, กำเดียว
เดี๋ยว, กำเดียว
ปีก่อน, ปี๋ก่อน
ปีก่อนปีที่แล้ว, ปี๋ซืน
ปีที่แล้ว, ปี๋แล้ว
ปีนี้, ปี๋นี้
ปีหน้า, ปี๋หน้า
เพล, เพล
เมื่อก่อน, เมื่อก่อน
เมื่อก่อน, ตะก่อน
เมื่อวานนี้, ตะวานี้
โมง, โมง
ยาม, ญาม
เร็ว, โวย
ฤดู, หน้า
ฤดูฝน, หน้าฝน
ฤดูร้อน, หน้าฮ้อน
ฤดูร้อน, หน้าแล้ง
ฤดูหนาว, หน้าหนาว
วันข้างขึ้น, วันเดือนออก
วันข้างแรม, วันเดือนดั๋บ
วันข้างแรม, วันเดือนแฮม
วันนี้, วันนี้
วันพรุ่งนี้, ว้นพู้ก
วันเพ็ญ, วันเดือนเป็ง
วั่นมะรืน, วันฮือ
วันมะเรื่อง, วันซืน
วันเว้นวัน, วันเว้นวัน
วันหน้า, วันหน้า
สมัยเก่า, สมัยบ่าเก่า
สมัยก่อน, สมัยก่อน
สักครู่, สั๋กกำ
สักครั้ง, สั๋กกำ
สักครั้ง, สั๋กเตื้อ
สักหน, สั๋กบึ๋ด
สักพักหนึ่ง, สั๋กญาม
สัปดาห์, อาติ้ด
เกินไป, ล้ำไป
เก้า, เก้า
เกลี้ยง, เกี้ยง
โกฏิ, โกฏิ
ค่อน, ข้อน
ครึ่ง, กึ่ง
ครบ, ค่บ
คี่, กี้
คู่, กู้
เจ็ด, เจ๋ด
เดี่ยว, เดียว
เต็ม, เต๋ม
ทั้งคู่, ตึงกู้
ทั้งหมด, ตึงหม๋ด
น้อย, น้อย
น้อย, หน้อย
ปานกลาง, มอกฮ้ายมอกดี
ไม่ดีไม่เลวจนเกินไป, มอกบ่ฮ่ายบ่ดี
แปด, แปด
พัน, ปัน
พร่อง, บ๋ก
มาก, นั่ก
มาก, หลาย
มาก, ขนาด
มากๆ, นั่กนั่ก
เยอะๆ, หลายหลาย
มากมาย, จ้าดนั่ก
มากมาย, นั่กขนาด
มากมาย, จ้าดหลาย
มากมาย, จ้าดนั่กจ้าดหลาย
ยี่สิบ, ซาว
ร้อย, ล้อย
ล้าน, ล้าน
สอง, สอง
สาม, สาม
สิบ, สิบ
สี่, สี่
แสน, แสน
หก, ห๋ก
หนึ่ง, นึ่ง
หนึ่งพัน, ปันนึ่ง
หนึ่งพันหนึ่ง, ปันเอ๋ด
หนึ่งร้อย, ล้อยนึ่ง
หนึ่งร้อยหนึ่ง, ล้อยเอ๋ด
หมด, หม๋ด
หมด, เสี้ยง
หมื่น, หมื่น
หลาย, หลาย
ห้า, ห้า
โหล, โหล
ขม, ขม
ขื่น, ขื่น
เค็ม, เก็ม
จืด, จ๋าง
เซ็ง, คาย
เปรี้ยว, ส้ม
เผ็ด, เผ๋ด
ฝาด, ฝาด
เฝื่อน, ฮืน
พอดี, จั๋บ
พอดี, ปอดี
มัน, มัน
กลมกล่อม, ก๋ำปอ
หวาน, หวาน
อร่อย, ลำ
ขาว, ขาว
ขาว, ปอน
ขาว, เผือก
ขาวสลับดำ, โก้ง
เขียว, เขียว
เขียวแก่, สิ้ว
เขียวแก่, เขียวแก่
ชมพู, ออน
ซีด, ซีด
เผือด, เปิด
ดำ, ดำ
แดง, แดง
แดงเข้ม, กํ่า
เทา, เทา
เทา, หม่น
น้ำเงิน, แหล้
น้ำเงิน, น้ำเงิน
น้ำตาล, น้ำต๋าล
เผือก, ปอน
เผือก, เผือก
ฟ้า, ฟ้า
ม่วง, ม่วง
ม่วงเข้ม, กํ่า
ม่วงเข้ม, สีปั๋ง
ส้ม, ส้ม
แสด, แสด
เหลือง, เหลือง
คาว, คาว
ฉุน, ขิ่ว
สาบ, สาบ
หอม, หอม
เหม็น, เหม็น
หืน, หืน
กรอบ, ผ่อย
กาง, ก๋าง
เก๊, เก๊
เกลี้ยง, เกี้ยง
โก่ง, โก่ง
ของแท้, ของแต๊
ข้น, ข้น
ขุ่น, ขุ่น
เขยิน, ซูน
คด, ก้ด
คม, คม
ค่อย, ก้อย
คล้าย, ค้าย
โล้ง, เก่ง
งอน, งอน
งุ้ม, งุ้ม
เฉ, จ๊าย
เฉา, ญม
แฉะ, แจ้ะ
ชัน, จัน
ชื่น, จื้น
ชุ่ม, จุ้ม
ดัง, ดัง
ดี, ดี
ตรง, ซื่อ
ตายนึ่ง, ม้าน
ตื้น, ตื้น
ถูก, ถูก
ทู่, มุ่ม
เท่า, เต้า
นูน, นูน
เน่า, เน่า
บาง, บาง
บอบบาง, แลบ
บุบ, เบบ
ปลอม, ป๋อม
แปลก, แปก
เปียก, เปี๋ยะ
ผอม, ผอม
ฟู, ฟู
แฟบ, ฌุ่บ
มัน, มัน
มัน, เหลื้อม
มัว, มัว
ย่น, หญ้น
ยับ, ยั่บ
ร่วน, ฮ่วน
ร้าย, ฮ้าย
เรียบ, เปียง
ลาด, ลาต
ลึก, ลึ่ก
แวววาว, เหลื้อม
สด, ส๋ต
ใส, ใส
เหี่ยว, เหี่ยว
แห้ง, แห้ง
แหลก, เหลียก
แหลม, แหลม
เหลว, แหลว
หนัก, หนั๋ก
เหนียว, เหนียว
หมาด, หมาด
เหมือน, เหมือน
อ้วน, ตุ้ย
กว้าง, กว้าง
ขนาดนี้, มอกอี้
แค่นี้, มอกอี้
แคบ, กีด
ตํ่า, ตํ่า
เตี้ย, ป๋อก
ปานกลาง, มอกฮ้ายมอกดี
ไม่ดีไม่เลวจนเกินไป, มอกฮ้ายมอกดี
พอดี, มอกจั๋บ
พอเหมาะ, มอกจั๋บ
พอดี, มอกปอดี
ยาว, ญาว
เล็ก, หน้อย
สั้น, สั้น
สูง, สูง
หนา, หึ๋ก
หนา, หนา
ใหญ่, ใหญ่
แข็ง, แข็ง
ระคาย, กาย
ด้าน, ด้าน
น่วม, น่วม
นุ่ม, นุ่ม
เย็น, เย็น
ร้อน, ฮ้อน
ลื่น, มื่น
เละ, ลว่าน
สาก, จา
หนาว, หนาว
อ่อน, อ่อน
อุ่น, อุ่น
กระมัง, ก๊า
ครับ, คั่บ
คะ, เจ้า
ค่ะ, เจ้า
เฉยๆ, บ่ดาย
ไง, แหน่
ไงล่ะ, ลอ
ซิ, กะ
ซิ, แป๋ะ
ซิ, แล่
ซิ, กำ
ซิ, ลอ
ซิ, ลุ๋
ซิ, ลู
สิ, กะ
สิ, แป๋ะ
สิ, แล่
สิ, กำ
สิ, ลุ๋
สิ, ลอ
สิ, ลู
เถอะ, เต้อะ
เถิด, เต้อะ
เถอะนะ, เต้อะนา
เถอะนะ, เต้อะ
นะ, เน่อ
นะ, ค่า
นะ, เอาะ
นะ, เอ๋าะ
นะ, เล่าะ
นะ, หนา
นะ, กอย
ด้วยนะ, กอย
นั่นแหละ, น่ะก่า
น่ะสิ, น่ะก่า
น่ะแหละ, น่ะก่า
นา, นา
นะ, เนอ
หนอ, เนอ
ละ, ล่ะ
ละนะ, ล่ะหนา
ละนะ, ละเน่อ
ละสิ, ล่ะกะ
เลย, เตื้อ
อีกละ, แหมเม่าะ
วะ, บะ
วะ, บ่า
โว้ย, บะเฮ้ย
เสียก่อน, เหียก่อน
เสียที, เหียกำ
เสียสิ, เหียก่า
เสียเลย, เหียเลย
เสียนี่, สั๋กกำ
แหละ, น่ะ
แหละ, เน่าะ
เอ๋ย, เหย
