ข้าว, เข้า
สายตะพาย, เจื้อกสายดัง
สายไฟ, สายไฟ
สุ่ม, สุ่ม
เสียม, เสียม
เสื่อ, สาด
หนังสติ๊ก, ก๋ง
หม้อแกง, หม้อแก๋ง
หม้อนำ, น้ำหม้อ
หลอดไฟ, หลอดไฟ
หวี, หวี
หิ้ง, ข่า
หิ้งพระ, หิ้งพ่ะเจ้า
หีบ, หีบ
หีบ, หีด
หูก, หูก
แห, แห
ไห, ไห
ไหสำหรับนึ่งข้าว, ไหเข้า
โอ่ง, หม้อโอ่ง
โอ่ง, โอ่ง
กระดุม, มะต่อม
กระดุม, กะดุม
กระดุมบีบ, มะต่อมแด๋บ
กระเป๋า, กะเป๋า
กระเป๋าถือ, กะเป๋า
กระเป๋าถือ, กะเลิ้บ
กระเป๋านักเรียน, กะเป๋านั่กเลียน
กระโปรง, กะโปง
กางเกง, เตี่ยว
กางเกง, ก๋างเก๋ง
กางเกงขาก๊วย, เตี่ยวสะดอ
กางเกงขายาวแบบฝรั่ง, เตี่ยวหลั่ง
กางเกงขายาวแบบฝรั่ง, ก๋างเก๋ง
กางเกงขาสัน, เตี่ยวก้อม
กางเกงขาสัน, ก๋างเก๋งขาสัน
กางเกงชั้นใน, เตี่ยวใน
กางเกงลิง, เตี่ยวลิง
กำไล, กํ๋าไล
เครื่องนุ่งห่ม, เคื่องนุ่งคัวใบ
ตุ้มหู, ด้อกหู
ตุ้มหู, จี้หู
ถุงเท้า, ถุงตี๋น
ถุงมือ, ถุงมือ
ปิ่น, ปิ่น
ผ้าขาวม้า, ผ้าต่อง
ผ้าคลุม, ผ้าตุ๊ม
ผ้าถุง, ผ้าสิ้น
ผ้านุ่ง, ผ้าต้อย
ผ้าโจงกระเบน, ผ้าต้อย
ผ้าพันคอ, ผ้าปันคอ
ผ้าโพกหัว, ผ้าเคียนหัว
ผ้าโพกหัว, ผ้าป้อกหัว
ผ้าห่มเฉียงบ่า, ผ้าสะหว้ายแหล้ง
ผ้าไหม, ผ้าไหม
พวงดอกไม้เงิน-ทองประดับผม, ดอกไม้ไหว
รองเท้า, เกือก
รองเท้า, เกิบ
รองเท้าแตะ, เกือกแต๋ะ
สร้อยข้อมือ, สายแขน
สร้อยข้อมือ, ส้อยแขน
สร้อยคอ, สายคอ
เสื้อ, เสื้อ
เสื้อกล้าม, เสื้อก้อม
เสื้อกล้าม, เสื้อก้าม
เสื้อกันหนาว, เสื้อหนาว
เสื้อคอกระเช้า, เสื้อบ่าห้อย
เสื้อแขนยาว, เสื้อแขนญาว
เสื้อแขนสั้น, เสื้อแขนสั้น
เสื้อชันใน, เสื้อก้อม
เสื้อชันใน, เสื้อจั๊นใน
เสื้อผ้า, คัวนุ่ง
เสื้อผ้า, เสื้อผ้า
โสร่ง, โสล่ง
แหวน, แหวน
กลด, ก๋ด
ผ้าเหลือง, ผ้าเหลือง
จีวร, ผ้าลังก๋า
จีวร, ผ้าเอก
ธรรมมาส, ธรรมมาส
ตาลปัตร, ต๋าละปั๋ด
บาตร, บาตร
ผ้ารัดประคด, ผ้ามั่ดอ๋ก
ผ้าสังฆาฏิ, ผ้าป้าด
ผ้าอังสะ, ผ้าอังส๋ะ
ผ้าอาบน้ำ, ผ้าอาบ
พัดยศ, พั่ดญ่ด
สบง, สบง
หีบใส่คัมภีร์, หีดธรรม
ตู้ใส่คัมภีร์, หีดธรรม
อาสนะ, อาสน่ะ
กรวด, มะหิน
กรวด, มะแฮ่
กรวด, แฮ่
แก่ง, แก่ง
เกาะ, เก๋าะ
ข้างขึ้น, เดือนออก
ข้างแรม, เดือนดั๋บ
ข้างแรม, เดือนแฮม
ขี้เถ้า, ขี้เต้า
คุ้งนํ่า, น้ำโก๊ง
จันทรคราส, ก๋บกิ๋นเดือน
จันทรคราส, ก๋บตือเดือน
ชะง่อนผา, ผาเงิบ
เชิงเขา, ตี๋นดอย
ดวงจันทร์, เดือน
ดวงอาทิดย์, ต๋าวัน
ดาว, ดาว
ดาวไถ, ดาวง้อนไถ
ดาวประกายพฤกษ์, ดาวผะก๋าย
ดาวประจำเมือง, ดาวหมูกอง
ดาวลูกไก่, ดาววี
ดาวลูกไก่, ดาววีไก่หน้อย
ดิน, ดิน
ดินเหนียว, ดินเหนียว
ดินดาน, ดินดาก
แดด, แดด
เดือนเพ็ญ, เดือนเป็ง
เดือนหงาย, เดือนแจ้ง
เดือนหงาย, เดือนหงาย
ตลิ่ง, ต๋าฝั่ง
ดาน้ำ, ต๋าน้ำ
ถ้ำ, ถ้ำ
ทราย, ซาย
ทะเล, ทะเล
ท่าน้า, น้ำต้า
น้ำค้าง, เหมย
น้ำค้าง, น้ำค้าง
น้ำค้างแข็ง, เหมยขาบ
นํ้าเชี่ยว, น้ำเจี้ยว
น้ำซับ, น้ำจำ
นํ้าดื่ม, น้ำกิ๋น
น้ำตก, น้ำต๋ก
น้ำท่วม, น้ำนอง
น้ำท่วม, น้ำถ้วม
น้ำนิ่ง, น้ำตุ้น
น้ำวน, น้ำพั๋ดต๋าไก่
บริเวณที่มีน้ำพุร้อน, โป่งน้ำฮ้อน
ปลัก, บวก
แอ่งนํ้า, บวก
ป่า, ป่า
เถื่อน, เถื่อน
ป่าละเมาะ, แพ่ะ
โป่ง, ป่ง
โป่ง, โป่ง
ผง, ผง
ผีพุ่งใต้, ผีปุ้งส้าว
ฝน, ฝน
ฝุ่น, ฝุ่น
พยับแดด, แดดบ๋ด
พายุ, ลมพลวง
โพรงในต้นไม้, ก๋วง
ภูเขา, ดอย
ภูเขา, ปู
ภูเขาเตี้ย, ม่อน
เมฆ, ฝ้า
เมฆ, เมฆ
แม่น้ำ, น้ำแม่
รุ้งกินน้ำ, ผีอี่ฮุง
รุ้งกินน้ำ, ฮุ้งกิ๋นน้ำ
ฤดู, หน้า
ลม, ลม
ลมที่พัดเป็นวงขึ้นไป, ลมกิ๋ดกิ๋ว
ลำคลอง, ลำเหมือง
ลำธาร, ลำห้วย
ลำธาร, ห้วย
ลูกเห็บ, บ่าเห๋บ
ลูกเห็บ, มะเห๋บ
สันเขา, แป๋ดอย
หนองน้ำ, หนองน้ำ
หน้าผา, หน้าผา
หมอก, หมอก
ห้วงน้ำ, วังนํ้า
ห้วงน้ำ, วัง
เหว, เหว
อากาศ, อากาศ
ไอน้ำ, ไอน้ำ
กระท่อม, ตูบ
กระเบื้อง, กะเบื้อง
กระเบื้องดินเผามุงหลังคา, แป้นดินขอ
กระเบืองไม้มุงหลังคา, แป้นเก๋ค
กลอน, ก๋อน
กลอน, แซ่ว
กบไสไม้, เต่า
กุฏิ, กุฏิ๋
กุญแจ, ขะแจ๋
กุญแจ, กุ๋นแจ๋
ขวาน, มุย
ขั้นบันได, สี้คันได
ขื่อ, ขื่อ
ค้อน, ค้อน
คุ้ม, คุ้ม
โครงบันได, แม่คันไค
เจดีย์, เจ๋ดีย์
เจดีย์, กู่
จั่ว, จั่ว
ชาน, จาน
ชายคา, จายคา
ด้านหลังของบ้าน, ก้นตู
ตะปู, เหล๋กกน
โถงหน้าห้องนอน, เติ๋น
ธรณีประดู, แม่ปะตู๋
ธรณีประดู, แม่ต้อดปะตู๋
บันได, คันไค
ปะรำ, ผาม
ปั้นลม, ปั้นลม
ปั้นลม, ป้านลม
ประตู, ปะตู๋
ปูนขาว, ปู๋นขาว
แป, แป๋
โบสถ์, โบสถ์
ฝา, ฝา
ฝา, ฝาแป้น
ฝา, ฝาถึม
พร้า, พ้า
เพดาน, ค่วน
เพดาน, เพดาน
ฟาก, ฟาก
ไม้กระดาน, ไม้แป้น
ไม้เมตร, ไม้เมตร
ไม้ระแนง, ไม้ก้านฝ้า
ไม้ระแนง, ไม้กั้นฝ้า
ยุ้งข้าว, หลองเข้า
รอด, แวง
รั้ว, ฮั้ว
ราว, ฮาว
ร้าน, ฮ้าน
เรือน, เฮือน
โรง, โฮง
โรงครัว, โฮงคัว
โรงนา, เถียงนา
โรงนา, ห้างนา
โรงพยาบาล, โฮงยา
โรงพัก, โฮงพักก
โรงเรียน, โฮงเฮียน
เลื่อย, เลื่อย
โลงศพ, หล้อง
โลงศพ, โลง
วัด, วั่ด
วิหาร, วิหาร
ศาลา, ศาลา
สลัก, แซ่ว
สะพาน, ขัว
สว่าน, เหล๋กจี
สิ่ว, สิ่ว
เสา, เสา
เสาตอม่อ, เสาป๋อก
เสาเอก, เสามงกน
ส้วมพระ, ฐาน
หน้ามุข, หน้ามุข
หน้าต่าง, ป่อง
หน้าต่าง, หน้าป่อง
หลังคา, หลังคา
หอ, หอ
ห้องครัว, เฮือนไฟ
ห้องครัว, คัวไฟ
ห้องนอน, ห้องนอน
ห้องส้วม, ส้วม
ห้องส้วม, วิ่ดขี้
ห้องส้วม, วิ่ด
ห้องอาบน้ำ, ต๊อมน้ำ
ห้องอาบน้ำ, ห้องอาบน้ำ
ห้าง, ห้าง
อิฐ, ดินกี่
อิฐ, ดินจี่
กระชาย, ละแอน
กระเทียม, หอมเดียม
กระเทียม, หอมขาว
กะทิ, กะทิ่
กะปิ, กะปิ๋
กับข้าว, กั๋บเข้า
กับข้าว, ของกิ๋น
กับข้าวสำเร็จรูป, ของกินสุ๋ก
กานพลู, ดอกจั๋น
กำจัด, มะแขว่น
กำจัด, มะแข่น
เกลือ, เกื๋อ
แกง, แก๋ง
แกงจืด, ต้มจืด
ขนมจีน, เข้าหนมเส้น
ขนมเทียน, เข้าหนมจ๋อก
ขนมนางเล็ด, เข้าแต๋น
ขมิ้น, เข้าหมิ้น
ข่า, ข่า
ข้าวเกรียบว่าว, เข้าควบ
ข้าวเจ้า, เข้าจ้าว
ข้าวต้ม, เข้าต้ม
ข้าวต้มผัด, เข้าต้มกะทิ่
ข้าวต้มมัด, เข้าต้มกะทิ่
ข้าวมันไก่, เข้ามัน
ข้าวเปลือก, เข้าเปือก
ข้าวมี้อเช้า, เข้าเจ๊า
ข้าวมี้อเช้า, เข้างาย
ข้าวมื้อเที่ยง, เข้าตอน
ข้าวมือเย็น, เข้าแลง
ข้าวเม่า, เข้าเหม้า
ข้าวสวย, เข้าหุง
ข้าวสวย, เข้าจ้าว
ข้าวสาร, เข้าสาร
ข้าวหมาก, เข้าหมาก
ข้าวหมาก, เข้าหวาน
ข้าวหลาม, เข้าหลาม
ข้าวเหนียวสังขยา, เข้ามัน
ข้าวเหนียวมะม่วง, เข้ามัน
ข้าวเหนียว, เข้าหนึ้ง
ข้าวเหนียวดำ, เข้ากํ่า
ขิง, ขิง
งบ, ห่อแอ๋บ
งา, งา
ตะไคร้, จั๋กไค
น้ำจิ้ม, น้ำจิ้ม
น้ำตาล, นํ้าต๋าน
น้ำปลา, น้ำป๋า
น้ำพริก, น้ำพิ่ก
น้ำมัน, น้ำมัน
น้ำส้ม, น้ำส้ม
น้ำอ้อย, น้ำอ้อย
เนื้อเค็ม, จี๊นเกื๋อ
